RespondentID,Do you celebrate Thanksgiving?,What is typically the main dish at your Thanksgiving dinner?,Sides dishes - Brussel sprouts,Sides dishes - Carrots,Sides dishes - Cauliflower,Sides dishes - Corn,Sides dishes - Cornbread,Sides dishes - Fruit salad,Sides dishes - Green beans/green bean casserole,Sides dishes - Macaroni and cheese,Sides dishes - Mashed potatoes,Sides dishes - Rolls/biscuits,Sides dishes - Squash,Sides dishes - Vegetable salad,Sides dishes - Yams/sweet potato casserole,Sides dishes - Other,How far will you travel for Thanksgiving?,US Region
4337698969,Yes,Turkey,,,,,,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Mountain
4337698743,Yes,Turkey,,,Cauliflower,Corn,,,Green beans/green bean casserole,,,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,Middle Atlantic
4337660047,Yes,Turkey,,Carrots,Cauliflower,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337655425,Yes,Turkey,,,,,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,West North Central
4337653684,Yes,Turkey,Brussel sprouts,,,,Cornbread,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337646565,Yes,Turkey,Brussel sprouts,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,South Atlantic
4337629524,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,West South Central
4337627331,Yes,Turkey,Brussel sprouts,,,,,,,,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Middle Atlantic
4337626849,Yes,Turkey,,Carrots,,,,,Green beans/green bean casserole,,,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,East South Central
4337611941,Yes,Turkey,,,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,West North Central
4337600726,Yes,Other,,Carrots,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is local--it will take place in the town I live in,West South Central
4337598069,Yes,Turkey,,Carrots,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,New England
4337597044,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,East North Central
4337589613,Yes,Turkey,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,South Atlantic
4337586061,Yes,Turkey,,,Cauliflower,,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,East South Central
4337583393,Yes,Turkey,,Carrots,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,New England
4337583245,Yes,Other,,,,,,,,,Mashed potatoes,Rolls/biscuits,,,,Other,Thanksgiving is happening at my home--I won't travel at all,East North Central
4337582845,Yes,Turkey,,,,Corn,,,,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Middle Atlantic
4337577784,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,South Atlantic
4337569645,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,Other,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337569057,Yes,Turkey,,Carrots,,Corn,,,,,Mashed potatoes,,,,,,Thanksgiving is happening at my home--I won't travel at all,Middle Atlantic
4337568074,Yes,Turkey,,,,,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,Other,Thanksgiving is happening at my home--I won't travel at all,Middle Atlantic
4337553422,Yes,Tofurkey,,,,,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is happening at my home--I won't travel at all,West South Central
4337550299,Yes,Turkey,,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,East North Central
4337545841,Yes,Turkey,Brussel sprouts,Carrots,Cauliflower,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Middle Atlantic
4337540484,Yes,Tofurkey,,Carrots,,,,,,,Mashed potatoes,,,,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337531521,Yes,Ham/Pork,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,West South Central
4337528775,Yes,Turkey,,,,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,West South Central
4337512214,Yes,Turkey,,,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,East North Central
4337490067,Yes,Tofurkey,Brussel sprouts,,,,,,,,Mashed potatoes,,Squash,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,East North Central
4337489617,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is happening at my home--I won't travel at all,West North Central
4337487759,Yes,Turkey,,,,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,West North Central
4337484305,Yes,Turkey,Brussel sprouts,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,South Atlantic
4337475288,Yes,Turkey,,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,West North Central
4337468268,Yes,Turkey,,,,,,,,,Mashed potatoes,,Squash,Vegetable salad,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,Mountain
4337467677,Yes,Turkey,,,Cauliflower,,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337448181,Yes,Turkey,,,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,Middle Atlantic
4337442451,Yes,Turkey,,,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,East South Central
4337441164,Yes,Turkey,,,Cauliflower,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Middle Atlantic
4337441070,Yes,Turkey,,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337435277,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,,Squash,,,,Thanksgiving is happening at my home--I won't travel at all,New England
4337432686,Yes,Turkey,,,,Corn,,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,East North Central
4337429102,Yes,Turkey,,,,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,West North Central
4337423740,Yes,Roast beef,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,,,Squash,,,,Thanksgiving is happening at my home--I won't travel at all,East South Central
4337421462,Yes,Turkey,Brussel sprouts,,,,,Fruit salad,Green beans/green bean casserole,,,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,West South Central
4337412056,Yes,Ham/Pork,,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,West North Central
4337409281,Yes,Turkey,,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337400534,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,West South Central
4337395533,Yes,Other,,Carrots,Cauliflower,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337391263,Yes,Turkey,Brussel sprouts,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,West South Central
4337390930,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,South Atlantic
4337390728,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,East North Central
4337386038,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,,,Thanksgiving is happening at my home--I won't travel at all,South Atlantic
4337384089,Yes,Turkey,,,,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,South Atlantic
4337382350,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,South Atlantic
4337380720,Yes,Other,,,,Corn,,,,,Mashed potatoes,,,,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337369789,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,East South Central
4337365738,Yes,Turkey,,,,,,Fruit salad,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337360752,Yes,Turkey,Brussel sprouts,,,,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,
4337360389,Yes,Turkey,Brussel sprouts,Carrots,,,,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
4337356672,Yes,Turkey,,,,,,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,West South Central
4337347655,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,,,Thanksgiving is local--it will take place in the town I live in,Middle Atlantic
4337346312,Yes,Turkey,,,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,East South Central
4337343090,Yes,Turkey,,,,,,,,,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337336787,Yes,Turkey,,Carrots,Cauliflower,,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,South Atlantic
4337336262,Yes,Turkey,,,,,,,,,,,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,South Atlantic
4337333159,Yes,Turkey,,,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,West South Central
4337324697,Yes,Turkey,,,,,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,South Atlantic
4337323392,Yes,Turkey,,Carrots,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
4337319123,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,New England
4337318895,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,South Atlantic
4337311256,Yes,Turkey,,Carrots,,Corn,,Fruit salad,Green beans/green bean casserole,,,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,East North Central
4337310361,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,West North Central
4337309060,Yes,Turkey,Brussel sprouts,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,East North Central
4337296029,Yes,Ham/Pork,,,Cauliflower,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337292895,Yes,Turkey,,,,Corn,,,,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is happening at my home--I won't travel at all,Mountain
4337288630,Yes,Turkey,,,,,,,,,,,,,,,,
4337287733,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,East North Central
4337284552,Yes,Turkey,,,,,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,West North Central
4337275528,Yes,Turkey,,Carrots,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,West North Central
4337262725,Yes,Turkey,Brussel sprouts,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,West South Central
4337256857,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,Other,Thanksgiving is local--it will take place in the town I live in,West North Central
4337249904,Yes,Turkey,Brussel sprouts,Carrots,Cauliflower,,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,Other,Thanksgiving is happening at my home--I won't travel at all,East North Central
4337247953,Yes,Turkey,,Carrots,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,South Atlantic
4337235972,Yes,Turkey,,Carrots,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
4337235398,Yes,Turkey,,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,South Atlantic
4337229414,Yes,Turkey,Brussel sprouts,Carrots,,,,Fruit salad,,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,,,Thanksgiving is local--it will take place in the town I live in,Middle Atlantic
4337225703,Yes,Turkey,,Carrots,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,Squash,,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,East South Central
4337220006,Yes,Turkey,,Carrots,,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,South Atlantic
4337217411,Yes,Turkey,,Carrots,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,West South Central
4337202264,Yes,Turkey,,,,Corn,,Fruit salad,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,Middle Atlantic
4337201482,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
4337195940,Yes,Turkey,,,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Mountain
4337191550,Yes,Tofurkey,,Carrots,,,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is happening at my home--I won't travel at all,West South Central
4337190953,Yes,Turkey,,,,Corn,Cornbread,Fruit salad,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,West South Central
4337188006,Yes,Other,,,,,,,,,,,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,New England
4337184092,Yes,Turkey,Brussel sprouts,,Cauliflower,,,,,,,Rolls/biscuits,,,,,Thanksgiving is happening at my home--I won't travel at all,East North Central
